election_event_id,voting_card_alias,voting_card_id,voting_card_set_alias,verification_card_id
de8dec806e5c43eea053260871d64aa1,1,1a5f134b11f645c7b9d54acff25307e6,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,02bdf81c66ec4f49a7d40d02481bce1c
de8dec806e5c43eea053260871d64aa1,2,3b3b0f0bfce94ac2999655e9908d64cb,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,006177d577834a8aa163d8f5ea5c3fa5
de8dec806e5c43eea053260871d64aa1,3,99236851adb04987b9642292679d7825,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,869b764da5e347a7af087d08cfe9342c
de8dec806e5c43eea053260871d64aa1,4,8e93f0502cd64bd8aeb8ecca17ce7145,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,e3e274f3d186456887d04964c73d097f
de8dec806e5c43eea053260871d64aa1,5,e7fe26a1bf8048ccb0033c81266e2bfa,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,90190ae203bf4e3895a051516278cca1
de8dec806e5c43eea053260871d64aa1,6,0c35ce01ba5a4f20b0728420286423e6,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,05988a64a0d94205a512bc3fafaea4f3
de8dec806e5c43eea053260871d64aa1,7,549bc054845443b7800a2777f2e0f07e,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,e8e7f81601b444fa939181e8319a0c03
de8dec806e5c43eea053260871d64aa1,8,8721a448dd2d41b28ac06801a9259917,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,508261528e1d4c548ac90ac6ba52185b
de8dec806e5c43eea053260871d64aa1,9,024eb6b4145f499db4f5ca87859abc60,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,4e0f0b0c75e9410babb47008d969e173
de8dec806e5c43eea053260871d64aa1,10,f3af6cf3496a4be0b03231ccbf2924db,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,1b899b53dbd4413b8d0a80050095d0fa
de8dec806e5c43eea053260871d64aa1,11,02ecce481ea44ef4b11a70fb74db14d0,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,472630ba191f44639acf8138be59c9b8
de8dec806e5c43eea053260871d64aa1,12,07a5d60987444c01bed3043053c639da,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,d5e30b31dcc244108f387aa14079b595
de8dec806e5c43eea053260871d64aa1,13,525c9c4579e247a7b3077e3ee82e84a1,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,6aa3950494ba43e5b1800866390cf2cf
de8dec806e5c43eea053260871d64aa1,14,f31394679bfd47bf8883e38f4f024813,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,bad322fea77d46a596174cf1a44d616c
de8dec806e5c43eea053260871d64aa1,15,95aff310763f4bddb926bc87de2058b2,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,adf36bc3d86f41c0bc2a0c6aaf52da3e
de8dec806e5c43eea053260871d64aa1,16,ba11663a98da45ac91252dec1c729029,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,002783312afc47aaa62cf9db4dd27459
de8dec806e5c43eea053260871d64aa1,17,0a27e1dcf4a0493e926bb9ed1f170a3a,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,069181c96dcb4a15b6f617651581e1ac
de8dec806e5c43eea053260871d64aa1,18,3a23d3596ba5471990539c218d2e0c1e,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,38c3aa0eea6b4efe99f28cebb1517caf
de8dec806e5c43eea053260871d64aa1,19,902b2250d5294b45adfc744a3f5ce071,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,eaa2f9617b5f4d3ea14424dff86feff8
de8dec806e5c43eea053260871d64aa1,20,106d6a917ad64d6f843bb88f2e5b72a4,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,49645688c48746ac83bd077dcc686bb1
de8dec806e5c43eea053260871d64aa1,21,512cac78ee0c4f27a026c35136e3fefd,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,121a66bc27e944f699d83c4a4f440b88
de8dec806e5c43eea053260871d64aa1,22,7a4763fbf7a54a61bc0de31f747beb51,vcs_FR-CH-1|FR-MU-2309 + FR-CT-1|FR-MU-2309,f4380ac874b6424da004dfc642a9ebfe
