election_event_id,voting_card_alias,voting_card_id,voting_card_set_alias,verification_card_id
03620cc739574d05a05029bbcbb3970d,230910004,0aeab010bd8346d0990eec5699fc60a4,vcs_FR-BZ-1006|FR-MU-2309,8c6534c8914f425bb28833b51192b934
03620cc739574d05a05029bbcbb3970d,230910011,0b14d1784992412fb40da140b57df131,vcs_FR-BZ-1006|FR-MU-2309,1780dda57293453bb0236daa42335be5
03620cc739574d05a05029bbcbb3970d,230910012,2b604f01a6f64ccc9ecbc4b92c87d133,vcs_FR-BZ-1006|FR-MU-2309,6b44f7fc6e004d04a8bd9eae588f5401
03620cc739574d05a05029bbcbb3970d,230910013,b3286e0a7e5e4986b7d29bdf24c8956b,vcs_FR-BZ-1006|FR-MU-2309,80962fa8313f4a50ba0e46fa10b4da93
03620cc739574d05a05029bbcbb3970d,230910014,30eea1499ed94a558c4901cce2a3473a,vcs_FR-BZ-1006|FR-MU-2309,e235d48c69064a109acf64eeaadf9ca6
03620cc739574d05a05029bbcbb3970d,230910015,ba77b4940b984675bb86b502964f7797,vcs_FR-BZ-1006|FR-MU-2309,78a96319ddc144ce8e662e6c1a4fc455
03620cc739574d05a05029bbcbb3970d,230910017,23f9c9e2546e4d2197f9247d8e4f3260,vcs_FR-BZ-1006|FR-MU-2309,a0f70f3aa3e14f10912bf3addb237213
03620cc739574d05a05029bbcbb3970d,230910018,a1bda4b539e74243844c09597c018578,vcs_FR-BZ-1006|FR-MU-2309,cc820bcbe7d8410ebfea0d006b18c653
03620cc739574d05a05029bbcbb3970d,230910022,f4ffed62b0f54094aa04871db52fbd12,vcs_FR-BZ-1006|FR-MU-2309,3fdfd13dfbcc4c31a6d0bdef286d7496
03620cc739574d05a05029bbcbb3970d,230910024,adae7576b579424a8679675037238d03,vcs_FR-BZ-1006|FR-MU-2309,c3f34fb53f8142108e8d986c21e722e2
03620cc739574d05a05029bbcbb3970d,230910026,52aeb75baf5a45d7976c3665edc349e0,vcs_FR-BZ-1006|FR-MU-2309,a683aebc5db6459c81810ebdaec015c0
03620cc739574d05a05029bbcbb3970d,230910027,0cb76a360f0d446abe9b6da110b3c52f,vcs_FR-BZ-1006|FR-MU-2309,e7f9badbabf24cafb9e3713800e2d9f8
03620cc739574d05a05029bbcbb3970d,230910029,4331fb295eb84b7f96f5637f67ca93db,vcs_FR-BZ-1006|FR-MU-2309,e12ffd680ddb4808904039f7575635f8
03620cc739574d05a05029bbcbb3970d,230910030,580086ac128c4307b89d3f35d8dcaf0a,vcs_FR-BZ-1006|FR-MU-2309,12c3966ff8a540698217494ffd9dc5e2
03620cc739574d05a05029bbcbb3970d,230910031,931a51e1d298407f8be61dd02c5c6924,vcs_FR-BZ-1006|FR-MU-2309,ab7a0eb10e644028b4baae2489fa9a08
03620cc739574d05a05029bbcbb3970d,230910032,2dce187fc32846fcb44fc1436172fc93,vcs_FR-BZ-1006|FR-MU-2309,4e0dd7c7461642f9a59ae91ac733d0f5
03620cc739574d05a05029bbcbb3970d,230910034,c47994249eb9425dab13f026cbd9ac5b,vcs_FR-BZ-1006|FR-MU-2309,d35cee779a53443fb75300857906ccad
03620cc739574d05a05029bbcbb3970d,230910041,0c196323ff4b42d68ab7008d38764948,vcs_FR-BZ-1006|FR-MU-2309,ce66d905073846e4b5c3feb3d421bff5
03620cc739574d05a05029bbcbb3970d,30910045,774cbe1b7db14225aaa52383fd6bff83,vcs_FR-BZ-1006|FR-MU-2309,16e7ab40b5d841eea06da22a1fd1c0d7
03620cc739574d05a05029bbcbb3970d,330910045,297b2e3139b346dc8ab0471348070e73,vcs_FR-BZ-1006|FR-MU-2309,54ba8d651f7b474898c37326984912f2
03620cc739574d05a05029bbcbb3970d,330910046,c906df9aaa3d4009a129d26837e314e6,vcs_FR-BZ-1006|FR-MU-2309,4dda1e158efc4192b3fa54397758abac
03620cc739574d05a05029bbcbb3970d,330910047,db65a0bcb65f452e9ea9dd7877d787cd,vcs_FR-BZ-1006|FR-MU-2309,3ec3c5cc4e5748b991ce27985a50b0b5
03620cc739574d05a05029bbcbb3970d,330910048,7d0ffca67a4b40e0b383313f9cc4550e,vcs_FR-BZ-1006|FR-MU-2309,bf378653f1e74e0ebb83d9039d8d17fa
03620cc739574d05a05029bbcbb3970d,330910049,fed236e8948c48b4a8f6c38a9dbcfe2a,vcs_FR-BZ-1006|FR-MU-2309,2d9f2bc3e2ee480eada035d41fb961a6
03620cc739574d05a05029bbcbb3970d,330910050,84362ce17b0e446babb24a6eedc0bc8c,vcs_FR-BZ-1006|FR-MU-2309,f5be5a13422c4aea9f234ab21cb53d13
03620cc739574d05a05029bbcbb3970d,330910051,989b73fafad44b1dac99b666fd4b1643,vcs_FR-BZ-1006|FR-MU-2309,ea9db232687c48cb81bf5389f4b70a59
03620cc739574d05a05029bbcbb3970d,330910052,e82cebcec644481cb2aecce2ac5f35e1,vcs_FR-BZ-1006|FR-MU-2309,7b2101c625ad43769dd35fd5c2cfd9d6
03620cc739574d05a05029bbcbb3970d,330910053,1e9e31af3e3e47faaf7a7f93cf10fbba,vcs_FR-BZ-1006|FR-MU-2309,389a0c6e2b374bf38901795afe045050
03620cc739574d05a05029bbcbb3970d,330910054,dd1f04ace38045f7bb550782c181d4f8,vcs_FR-BZ-1006|FR-MU-2309,32020db6057a4d14b28fb8871812eca2
03620cc739574d05a05029bbcbb3970d,330910055,953c32e7e1af4cb7bc4fa9770d859505,vcs_FR-BZ-1006|FR-MU-2309,ef2ad6971506449485552ddd6ecb3e51
03620cc739574d05a05029bbcbb3970d,330910056,1141794be40a434a9bf20f5b9aa5d1ad,vcs_FR-BZ-1006|FR-MU-2309,df78e261724c40808767f9dd33035aa2
03620cc739574d05a05029bbcbb3970d,330910057,3625fd6e3019460f870620bc35c5fe01,vcs_FR-BZ-1006|FR-MU-2309,d999481795b64b6185b1be86dffffefd
03620cc739574d05a05029bbcbb3970d,330910058,170450e3ab2946a3acf44a297eaed6c4,vcs_FR-BZ-1006|FR-MU-2309,c7cd7b79dc0b4b0cb2285f3a396197cd
03620cc739574d05a05029bbcbb3970d,330910059,10e9617fb9284b0b8aaf5e264f689def,vcs_FR-BZ-1006|FR-MU-2309,255d14f9eec74ae0a8b030de755002c1
